Run,pH,C0,Time,Dose,Temp,Flow,Chloride,Hardness,Carbonate,NOM,Order
1,4.39,2.65,87,2.48,34.2,0.709,0,49,7,11,361
2,4.12,2.99,97,4.1,35.7,0.651,63,280,1,15,73
3,8.17,4.68,92,1.72,36.0,0.537,18,23,40,24,374
4,4.5,1.41,72,4.37,22.7,1.869,88,479,25,36,155
5,4.46,9.21,81,3.32,30.1,1.2,85,369,35,47,104
6,4.03,3.34,89,0.74,27.7,1.941,68,82,47,46,394
7,6.64,9.09,70,4.31,35.2,1.477,60,360,6,40,377
8,3.11,4.61,10,3.22,28.9,1.12,8,340,68,46,124
9,7.88,4.86,53,2.26,20.2,1.073,45,442,18,13,68
10,5.22,9.98,99,1.68,31.2,1.77,40,478,91,13,450
11,7.52,9.74,35,3.12,23.0,1.142,7,177,92,49,9
12,4.21,8.74,20,3.0,36.3,0.638,95,491,97,44,194
13,5.43,5.65,78,1.17,23.4,0.802,58,281,50,9,406
14,3.75,1.94,32,2.38,31.7,1.226,61,481,66,1,84
15,3.01,2.05,65,4.52,37.1,0.604,17,229,2,26,371
16,6.39,2.28,45,2.9,30.4,1.566,45,387,72,42,388
17,6.74,2.15,36,1.71,21.4,1.114,76,111,34,29,495
18,3.03,3.53,23,4.74,38.8,1.013,46,309,62,2,30
19,8.57,2.75,105,3.61,28.2,1.165,93,215,72,26,316
20,6.86,3.32,60,4.29,37.6,1.276,88,151,42,43,408
21,7.9,9.8,37,2.45,31.9,0.679,75,133,24,21,490
22,7.07,5.42,91,1.78,26.2,0.835,44,356,56,48,491
23,3.15,4.75,74,3.79,23.1,1.055,38,146,25,32,280
24,3.14,9.43,39,4.43,22.2,1.605,93,383,57,17,356
25,4.75,1.2,21,1.16,29.1,1.319,56,77,45,7,76
26,3.67,3.28,108,1.46,24.2,1.175,49,207,23,8,461
27,3.32,3.65,95,2.8,33.6,0.533,65,9,54,45,497
28,4.88,3.64,38,4.08,27.2,0.913,91,228,17,5,211
29,6.72,5.33,113,3.31,32.1,0.844,64,361,26,26,101
30,8.54,6.69,69,4.5,36.9,0.711,97,302,78,46,334
31,7.61,7.52,74,0.51,35.1,1.31,94,437,7,41,475
32,5.54,9.15,29,1.09,38.1,1.387,1,60,39,16,336
33,6.01,2.44,68,1.15,22.4,0.546,40,423,40,27,440
34,3.71,1.99,89,4.04,24.4,1.326,63,483,40,20,173
35,3.08,4.01,94,1.62,20.3,1.453,84,146,31,28,2
36,7.19,9.82,40,3.56,32.8,1.314,25,30,45,6,333
37,4.32,6.7,17,1.21,35.9,1.29,96,392,26,21,409
38,7.79,5.89,92,3.86,24.8,1.525,75,155,18,34,70
39,4.13,8.83,83,4.4,26.1,0.668,12,356,83,36,209
40,5.63,3.27,14,3.5,24.1,1.092,23,485,100,24,63
41,8.48,8.24,104,1.89,38.4,0.848,4,29,19,8,384
42,7.52,9.72,43,4.84,26.6,1.171,4,341,11,9,93
43,8.63,3.61,118,0.88,31.6,1.581,98,158,33,15,485
44,7.75,1.54,30,4.16,23.9,1.648,19,265,53,46,185
45,7.73,9.96,55,4.63,38.1,1.792,70,322,63,22,33
46,5.05,6.94,19,3.98,26.8,1.732,93,315,61,29,77
47,6.86,8.31,57,0.87,32.9,1.914,72,213,91,5,0
48,5.11,8.92,120,4.42,22.8,0.514,62,62,3,41,11
49,3.68,6.0,118,4.65,25.9,1.45,67,37,27,7,415
50,3.76,9.68,45,1.44,27.7,1.945,56,358,47,49,22
51,7.16,9.57,91,4.26,22.0,1.704,33,438,80,49,72
52,3.51,1.44,25,1.04,23.2,0.895,14,306,19,14,182
53,7.62,5.91,90,0.97,21.2,1.873,99,375,88,36,131
54,7.01,7.31,91,4.9,39.2,1.243,32,483,18,48,410
55,7.22,5.2,119,2.97,29.8,1.084,81,275,48,40,193
56,6.27,7.82,119,2.94,29.3,0.565,81,230,84,16,55
57,5.91,4.58,110,0.55,26.0,1.168,41,401,97,31,148
58,7.0,8.18,49,3.26,22.9,1.659,96,102,58,24,18
59,5.14,2.81,80,0.59,20.8,0.749,71,54,80,39,204
60,5.94,7.26,47,2.56,31.9,1.27,85,190,78,42,78
61,6.46,9.39,111,3.39,20.2,1.065,34,493,34,5,494
62,4.53,4.4,49,0.81,32.5,1.668,76,396,40,4,262
63,7.67,1.68,85,0.94,21.2,1.11,86,368,35,49,323
64,4.63,5.11,115,4.05,28.8,0.86,8,495,25,28,483
65,4.34,3.47,64,1.18,33.1,1.046,7,350,33,44,79
66,7.75,2.88,104,4.46,36.1,1.305,34,271,32,14,39
67,3.81,1.01,48,3.69,34.0,1.182,98,206,56,33,451
68,8.36,9.25,78,3.62,38.6,1.96,48,70,9,3,46
69,6.04,7.42,74,3.73,36.9,1.561,1,211,22,34,238
70,6.93,5.29,25,1.41,20.6,1.988,99,73,75,45,391
71,6.53,6.95,23,1.53,27.6,1.596,57,221,30,30,352
72,6.82,6.39,46,2.87,37.4,1.101,19,208,89,19,341
73,8.38,7.49,60,4.19,33.9,0.623,4,144,65,31,277
74,8.93,7.67,70,4.1,25.2,0.804,19,170,49,1,290
75,8.99,8.46,101,2.07,23.0,0.814,61,267,26,35,317
76,3.87,5.09,37,1.64,28.3,0.634,33,91,96,27,304
77,6.33,6.86,33,2.78,31.5,1.97,66,292,99,25,268
78,3.38,8.07,64,2.81,26.3,1.343,39,482,24,22,69
79,7.55,2.33,83,3.16,35.8,1.411,95,171,61,16,455
80,4.59,2.48,93,4.56,22.0,1.53,13,5,22,30,465
81,4.18,4.34,12,2.09,26.6,1.49,9,217,74,37,154
82,5.87,6.45,115,2.66,36.6,0.827,89,14,90,25,82
83,8.99,2.02,79,4.65,23.3,1.016,92,124,93,34,477
84,5.36,5.71,96,2.91,24.3,1.983,79,85,63,4,172
85,7.57,7.23,20,1.85,34.4,0.973,34,385,88,17,321
86,6.17,5.68,72,2.0,25.2,1.963,51,272,76,28,90
87,4.97,3.77,80,3.3,30.5,1.664,70,5,52,19,180
88,5.61,7.19,50,2.73,34.1,0.55,42,172,17,2,414
89,7.85,4.27,57,0.76,20.5,1.352,63,128,95,10,312
90,4.82,4.46,102,4.78,27.8,1.542,53,332,88,39,278
91,4.96,2.86,71,2.21,26.9,1.149,3,11,53,22,381
92,8.85,2.09,41,3.1,38.6,1.76,59,399,69,45,472
93,6.68,1.29,104,5.0,31.3,1.842,30,294,42,39,362
94,3.99,1.89,66,2.29,31.6,0.953,20,104,89,41,324
95,5.7,3.02,90,3.68,27.4,1.009,7,419,77,32,431
96,5.45,5.77,106,4.44,28.9,1.754,89,224,67,15,347
97,5.02,8.66,107,4.15,23.7,0.97,47,84,64,30,86
98,5.89,3.11,116,3.21,24.9,1.374,1,408,86,13,75
99,5.47,7.21,19,1.69,28.7,0.659,77,34,50,37,438
100,6.08,2.14,59,1.83,39.0,0.799,85,367,95,9,15
101,5.59,2.63,104,1.86,31.0,1.603,68,220,58,43,249
102,5.67,3.96,11,0.73,25.7,0.582,8,134,33,25,433
103,6.88,4.3,33,3.06,24.7,1.147,67,98,3,41,19
104,7.46,1.85,71,1.25,37.9,1.65,48,41,75,27,322
105,7.34,3.67,108,0.7,33.3,1.384,66,226,13,24,332
106,7.17,1.63,65,3.77,20.9,1.747,68,328,4,22,56
107,4.84,6.6,55,2.69,22.3,1.764,81,321,14,48,301
108,7.31,6.52,95,3.6,29.9,1.457,90,462,96,5,229
109,6.61,7.89,67,3.46,32.7,1.021,75,450,78,18,331
110,5.96,7.61,76,3.99,37.3,1.827,33,410,77,6,132
111,4.38,6.88,64,4.8,21.8,1.917,20,194,36,11,137
112,4.95,9.02,19,1.99,21.3,1.301,32,151,8,36,423
113,7.29,2.52,103,1.79,22.3,1.428,93,256,22,3,335
114,4.74,6.73,112,3.74,35.4,0.776,95,212,41,47,25
115,8.78,7.38,51,2.13,28.9,1.51,78,160,43,1,464
116,3.98,7.64,34,1.98,30.7,1.865,58,26,28,42,281
117,7.34,5.25,40,3.87,37.1,1.046,71,137,6,27,247
118,4.54,7.51,97,4.91,20.7,0.792,66,408,66,4,237
119,6.15,9.94,13,3.97,29.4,1.98,57,26,32,15,117
120,5.31,8.97,107,2.67,24.6,1.776,82,418,4,14,42
121,6.36,2.27,39,2.17,23.7,1.739,84,223,48,8,220
122,7.55,3.49,94,2.04,32.5,1.993,43,328,75,43,176
123,5.1,8.02,51,3.85,37.7,0.714,61,404,33,3,320
124,6.9,8.53,26,1.95,34.8,0.932,54,321,19,29,153
125,4.01,6.79,42,0.78,24.0,1.538,38,198,53,5,231
126,3.47,2.46,117,1.22,29.6,0.518,28,460,67,45,227
127,3.2,7.33,114,1.08,29.8,1.287,16,175,15,3,417
128,5.26,3.46,78,0.57,31.4,1.246,10,50,60,14,203
129,6.48,6.13,99,4.38,28.1,0.638,31,158,30,18,126
130,7.23,7.73,67,4.75,30.6,1.342,41,283,14,18,329
131,7.15,9.67,87,0.51,24.4,1.661,90,16,12,28,31
132,4.56,8.45,53,3.7,21.2,0.663,70,221,93,25,113
133,8.64,7.37,17,4.48,31.4,0.526,39,398,44,45,470
134,7.92,3.51,24,3.02,25.2,1.37,79,13,87,8,271
135,3.48,7.16,54,1.97,29.2,0.756,88,377,83,31,140
136,7.69,2.0,86,4.24,30.0,1.043,6,338,14,8,57
137,8.68,6.09,76,2.3,27.9,0.981,93,499,10,20,192
138,4.81,6.4,32,1.93,22.2,1.535,2,335,72,27,24
139,7.21,6.47,74,2.6,32.2,1.538,99,53,48,17,17
140,4.07,5.62,24,2.16,26.3,1.693,53,233,1,23,265
141,4.65,3.93,38,1.58,36.2,1.815,42,182,14,45,66
142,5.3,2.21,63,3.34,22.6,1.719,98,396,71,5,208
143,3.4,2.95,18,4.35,21.5,1.657,28,82,74,0,479
144,3.35,9.92,102,1.56,31.1,0.722,96,421,53,27,94
145,3.79,1.53,27,4.34,34.3,1.215,81,318,12,50,253
146,4.78,4.59,41,2.92,36.4,0.689,92,447,59,11,266
147,3.88,8.63,103,4.4,33.3,1.501,27,126,76,8,23
148,5.17,4.79,62,1.37,21.9,0.888,30,46,87,4,222
149,6.69,4.1,26,3.52,32.8,0.587,58,68,60,1,261
150,4.3,4.35,38,3.4,20.5,0.699,34,177,91,19,426
151,5.34,7.75,107,1.87,22.0,1.548,75,262,32,43,5
152,4.57,9.46,80,3.9,38.2,1.78,45,286,85,13,116
153,8.42,9.35,62,2.52,20.9,1.714,59,282,75,41,45
154,5.55,8.35,66,1.37,31.3,1.642,55,426,0,22,16
155,6.23,9.52,76,2.4,22.1,0.781,69,135,61,2,462
156,7.02,3.76,89,1.32,34.6,1.768,22,173,97,36,357
157,6.81,7.97,92,2.72,27.3,0.618,58,110,73,24,3
158,7.82,1.24,88,2.98,26.2,0.598,24,194,8,47,218
159,5.98,5.82,30,0.52,33.5,0.821,81,402,11,9,405
160,3.45,9.38,38,2.14,35.5,1.086,35,172,36,3,60
161,5.83,5.75,106,2.99,20.8,0.685,55,268,97,34,110
162,4.6,4.38,63,1.02,38.8,1.159,63,164,2,25,318
163,3.56,8.55,58,4.6,30.3,0.763,1,259,24,35,428
164,6.14,1.46,37,4.14,39.4,1.964,5,196,44,25,29
165,4.48,8.42,100,0.83,30.4,1.023,80,183,27,32,437
166,6.85,8.48,75,2.95,23.2,0.512,57,393,10,19,471
167,8.47,3.36,81,2.78,25.4,1.264,51,15,97,42,26
168,6.03,6.83,102,4.07,25.4,1.029,26,416,15,7,7
169,6.51,9.64,58,4.13,32.2,1.176,90,410,7,21,453
170,3.61,7.21,105,3.49,20.3,1.818,5,153,20,39,108
171,6.97,2.78,117,4.11,25.9,1.826,38,240,64,15,37
172,3.72,7.91,47,1.05,39.6,1.125,54,45,95,29,157
173,7.13,4.64,38,3.24,27.6,1.814,18,59,35,29,489
174,4.1,4.22,91,3.76,28.6,1.852,98,270,38,4,118
175,7.41,5.51,73,2.4,32.5,0.649,33,457,25,38,114
176,7.96,8.7,44,2.43,35.0,1.068,66,256,67,23,175
177,5.29,5.43,46,1.35,26.9,1.463,5,251,2,27,373
178,4.16,8.13,91,3.08,37.6,1.572,36,94,18,31,181
179,4.73,4.17,77,2.08,34.6,0.936,3,385,94,22,144
180,7.44,6.22,82,1.29,30.2,0.922,2,490,0,22,369
181,5.85,9.19,31,4.21,26.4,1.421,17,35,93,32,390
182,3.59,6.3,71,3.64,28.4,0.979,13,75,52,16,195
183,6.41,1.19,65,0.58,27.9,0.625,97,217,99,39,404
184,3.62,7.64,29,1.22,23.3,0.683,75,1,74,20,275
185,6.2,1.26,101,1.63,32.3,1.284,1,253,79,10,454
186,8.22,3.79,96,2.44,22.4,0.928,11,387,94,28,141
187,6.94,8.25,28,0.91,36.1,1.865,12,258,51,1,365
188,8.02,9.51,115,4.33,33.2,1.887,99,263,13,42,67
189,3.02,5.92,48,4.77,31.8,1.26,78,96,33,38,210
190,8.41,2.5,40,1.82,21.6,1.831,50,391,29,3,168
191,8.84,3.74,84,2.19,33.7,1.396,63,394,63,7,493
192,4.78,4.76,113,2.42,30.9,1.744,23,120,49,35,375
193,4.19,9.54,65,0.7,28.2,1.333,80,114,10,34,400
194,7.36,7.8,28,0.8,27.1,0.797,21,101,68,33,272
195,4.93,9.31,77,0.98,39.8,0.606,19,444,10,40,109
196,6.17,8.36,84,1.06,37.6,1.418,13,382,66,6,248
197,3.04,5.02,44,2.57,25.1,1.617,69,420,51,40,145
198,4.94,2.57,61,3.96,30.0,1.027,53,166,34,48,92
199,4.51,4.5,110,3.21,35.1,1.631,15,404,9,16,152
200,6.66,2.73,47,3.42,27.1,1.89,6,66,84,20,367
201,4.3,1.12,107,2.47,38.4,1.61,36,11,30,11,467
202,5.14,2.3,13,3.41,39.4,0.673,28,343,55,11,83
203,7.47,1.11,42,3.28,30.4,0.676,20,131,34,2,245
204,3.23,5.15,50,3.14,37.4,1.512,91,139,90,2,165
205,7.99,6.83,59,3.07,34.8,0.898,37,105,31,29,163
206,6.23,2.62,98,2.24,23.1,1.929,97,300,86,30,199
207,7.39,3.07,18,4.59,29.9,0.728,75,430,50,7,228
208,5.72,3.39,94,2.15,38.5,0.558,78,333,8,35,74
209,4.44,1.79,24,3.9,35.7,1.443,9,449,65,29,478
210,5.25,3.61,37,0.69,31.4,0.836,61,252,78,31,358
211,5.41,1.34,46,4.0,33.6,0.959,36,440,14,10,250
212,3.28,6.63,78,3.53,21.7,1.399,54,383,16,17,119
213,3.12,9.05,98,0.67,25.7,0.852,20,442,59,18,310
214,5.22,5.22,25,1.25,33.6,1.251,28,340,45,30,299
215,3.57,7.47,59,0.76,32.8,1.782,37,284,95,35,255
216,6.84,3.57,40,3.14,37.4,0.641,15,260,16,34,354
217,7.33,1.05,41,2.18,30.1,0.925,77,495,46,36,399
218,3.43,8.95,14,1.91,24.1,1.904,10,455,19,31,225
219,4.36,5.17,102,2.86,31.9,1.099,74,187,18,47,353
220,3.9,1.82,31,0.99,21.0,1.788,52,474,90,32,234
221,3.53,4.31,96,4.97,24.6,0.729,30,312,54,44,382
222,4.46,5.37,55,2.97,20.3,0.959,65,2,12,43,274
223,3.54,5.31,75,3.59,33.1,1.004,100,334,32,18,36
224,3.95,6.77,89,1.64,21.7,0.731,27,244,43,19,196
225,3.84,6.6,86,2.08,20.6,0.87,46,57,4,5,139
226,4.89,3.0,49,0.56,31.1,1.938,91,112,78,12,364
227,5.56,1.76,113,1.62,37.7,1.154,35,17,55,47,244
228,8.88,2.57,66,1.05,31.7,1.107,42,319,98,6,439
229,8.37,7.28,99,2.64,24.9,1.436,29,36,82,21,286
230,7.48,7.77,79,1.7,27.6,1.564,87,90,61,7,59
231,8.9,1.71,11,4.73,20.5,0.747,56,330,72,23,111
232,4.26,6.72,46,2.25,39.1,0.666,0,124,83,7,89
233,8.15,4.08,80,1.38,39.2,0.963,26,127,69,21,436
234,3.94,4.95,100,3.51,39.5,1.74,11,255,84,39,6
235,6.19,9.15,28,3.38,34.5,0.59,77,345,37,38,360
236,6.1,4.66,84,2.52,32.1,0.865,81,72,41,48,346
237,3.05,8.9,69,2.27,35.4,1.896,99,72,22,9,338
238,6.89,3.14,110,4.64,28.5,0.878,89,189,31,27,158
239,3.82,9.46,29,4.86,28.0,0.555,41,213,40,21,150
240,6.05,5.4,103,3.37,21.7,1.265,60,116,62,50,177
241,4.71,6.36,79,4.3,29.3,1.381,94,298,8,31,393
242,3.21,5.63,109,4.57,39.7,1.466,59,434,75,24,184
243,8.43,4.56,15,4.04,21.8,1.446,55,137,50,41,449
244,5.79,4.23,19,1.76,33.3,1.337,30,101,49,19,10
245,4.7,8.58,58,2.5,37.9,0.741,19,286,99,20,380
246,4.44,1.51,21,2.76,22.5,1.075,43,150,71,27,103
247,5.52,8.78,70,1.34,25.5,0.946,15,204,82,47,81
248,6.13,7.93,117,3.03,27.0,1.163,11,314,46,45,38
249,8.79,1.32,120,2.71,38.2,1.18,29,351,54,28,314
250,8.5,4.41,27,1.36,39.2,0.993,71,156,85,5,167
